Order,Latin_binomial,Island,Ancestor_or_closest_mainland_relative,Size_ratio,Body_mass_mainland_taxon,Body_mass_island_taxon,Log_Size_ratio,Magnitude_body_size_change,Direction_body_size_change,IUCN_Category,Source_Body_mass_and_size_ratio,Source_Ancestor_or_closest_mainland_relative,Endemism,Notes
Eulipotyphla,Sorex_caecutiens,,,1.148853955,5.378,6.180365,0.060264824,0.060264824,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Eulipotyphla,Sorex_cinereus,,,1.0255,4.14,4.24557,0.010935665,0.010935665,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Eulipotyphla,Sorex_hosonoi,Honshu,Sorex_minutissimus,1.32,2.5,3.3,0.120573931,0.120573931,gigantism,LC,Faurby et al. 2020,Ohdachi et al. 2012,yes,
Eulipotyphla,Sorex_jacksoni,Saint Lawrence,Sorex_camtschatica,0.760869565,4.6,3.5,-0.118689787,0.118689787,dwarfism,LC,Faurby et al. 2020,Hope et al. 2012,yes,
Eulipotyphla,Sorex_minutus,,,1.014628494,4.14,4.05099,0.006307055,0.006307055,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Eulipotyphla,Sorex_monticolus,,,0.964,7.5,7.23,-0.015922966,0.015922966,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Eulipotyphla,Sorex_ornatus,,,1.295,5,6.475,0.112269768,0.112269768,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Eulipotyphla,Sorex_palustris,,,1.15,11,12.65,0.06069784,0.06069784,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Eulipotyphla,Sorex_pribilofensis,,,1.19,8,9.52,0.075546961,0.075546961,gigantism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Eulipotyphla,Sorex_shinto,,,1.4,7,9.8,0.146128036,0.146128036,gigantism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Eulipotyphla,Sorex_trowbridgii,,,1.26,6,7.56,0.100370545,0.100370545,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Soricomys_kalinga,Luzon,,,,27,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Soricomys_montanus,Luzon,,,,28,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Soricomys_musseri,Luzon,,,,31,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Diprotodontia,Spilocuscus_kraemeri,Manus: Los Negros: Lou: Luf: Wuvulu,Spilocuscus_maculatus,0.450379886,5106.8,2300,-0.346421014,0.346421014,dwarfism,NT,Faurby et al. 2020,Helgen & Flannery 2004,yes,
Diprotodontia,Spilocuscus_papuensis,Waigeo ,Spilocuscus_maculatus,1.123110363,5106.8,5735.5,0.050422434,0.050422434,gigantism,VU,Faurby et al. 2020,Helgen & Flannery 2004,yes,
Diprotodontia,Spilocuscus_rufoniger,New Guinea,Spilocuscus_maculatus,1.17490405,5106.8,6000,0.070002401,0.070002401,gigantism,CR,Faurby et al. 2020,Helgen & Flannery 2004,yes,
Diprotodontia,Spilocuscus_wilsoni,Biak: Supiori,Spilocuscus_maculatus,0.638814913,5106.8,3262.3,-0.194624954,0.194624954,dwarfism,CR,Faurby et al. 2020,Helgen & Flannery 2004,yes,
Carnivora,Spilogale_gracilis,,,1.17,500,585,0.068185862,0.068185862,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Spilogale_putorius,,,1.018,569,579.242,0.007747778,0.007747778,gigantism,VU,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Srilankamys_ohiensis,Sri Lanka,Dacnomys_millardi,0.699554069,179.4,125.5,-0.155178713,0.155178713,dwarfism,VU,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Chiroptera,Stenoderma_rufum,Puerto Rico: Vieques: St. Thomas: St. John: St. Croix,,,,20.7,,,,NT,Faurby et al. 2020,,yes,
Diprotodontia,Strigocuscus_celebensis,Sulawesi: Sangihe: Siau,,,,500,,,,NT,Faurby et al. 2020,,yes,
Diprotodontia,Strigocuscus_pelengensis,Mangole: Taliabu: Peleng ,,,,1103,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Sturnira_angeli,Martinique: Dominica: Guadeloupe Islands: Montserrat,Sturnira_luisi,1.814011676,11.99,21.75,0.258640078,0.258640078,gigantism,NT,Catzeflis et al. 2019: Jones et al. 2009,Velazco & Patterson 2013,yes,
Chiroptera,Sturnira_paulsoni_luisae,St Vincent: Grenada: St Lucia,Sturnira_luisi,1.511162433,12.99,19.63,0.179311149,0.179311149,gigantism,NT,Pedersen et al. 2018: Jones et al. 2009,Velazco & Patterson 2013,yes,
Chiroptera,Styloctenium_mindorensis,Mindoro,,,,212,,,,EN,Faurby et al. 2020,,yes,
Chiroptera,Styloctenium_wallacei,Sulawesi,,,,173,,,,NT,Faurby et al. 2020,,yes,
Eulipotyphla,Suncus_fellowesgordoni,Sri Lanka,Suncus_etruscus,1.761904762,2.1,3.7,0.245982429,0.245982429,gigantism,EN,Faurby et al. 2020,Meegaskumbura et al. 2012,yes,
Eulipotyphla,Suncus_mertensi,Flores,,,,8,,,,EN,Faurby et al. 2020,,yes,
Eulipotyphla,Suncus_murinus,,,0.905,43.2,39.096,-0.043351421,0.043351421,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Eulipotyphla,Suncus_zeylanicus,Sri Lanka,Suncus_montanus,1.655555556,18,29.8,0.218943759,0.218943759,gigantism,EN,Faurby et al. 2020,Meegaskumbura et al. 2010,yes,
Rodentia,Sundamys_infraluteus,Sumatra: Borneo,,,,418.5,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Sundamys_maxi,Java,,,,361,,,,VU,Faurby et al. 2020,,yes,
Rodentia,Sundamys_muelleri,,,0.939,356,334.284,-0.027334408,0.027334408,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Sundasciurus_brookei,Borneo,Sundasciurus_tenuis,1.56504065,73.8,115.5,0.194525622,0.194525622,gigantism,LC,Faurby et al. 2020,Hawkins et al. 2016,yes,
Rodentia,Sundasciurus_fraterculus,Siberut: Sipora: North: South Pagai,Sundasciurus_lowii,0.669714286,87.5,58.6,-0.174110437,0.174110437,dwarfism,VU,Faurby et al. 2020,Hawkins et al. 2016,yes,
Rodentia,Sundasciurus_hoogstraali,Busuanga: Calauit,Sundasciurus_hippurus,0.655427024,406.3,266.3,-0.183475656,0.183475656,dwarfism,LC,Faurby et al. 2020,den Tex et al. 2010,yes,
Rodentia,Sundasciurus_jentinki,Borneo,Sundasciurus_tenuis,1.029810298,73.8,76,0.01275723,0.01275723,gigantism,LC,Faurby et al. 2020,Hawkins et al. 2016,yes,
Rodentia,Sundasciurus_juvencus,Palawan,Sundasciurus_hippurus,0.637460005,406.3,259,-0.195547058,0.195547058,dwarfism,LC,Faurby et al. 2020,den Tex et al. 2010,yes,
Rodentia,Sundasciurus_lowii,,,1.028,85,87.38,0.011993115,0.011993115,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Sundasciurus_moellendorffi,Culion: Linapacan: Iloc: Tampel,Sundasciurus_hippurus,0.620231356,406.3,252,-0.207446282,0.207446282,dwarfism,NT,Faurby et al. 2020,den Tex et al. 2010,yes,
Rodentia,Sundasciurus_philippinensis,Basilan: Biliran: Bohol: Dinagat: Leyte: Mindanao: Samar: Siargao,Sundasciurus_hippurus,0.600541472,406.3,244,-0.221456996,0.221456996,dwarfism,LC,Faurby et al. 2020,den Tex et al. 2010,yes,
Rodentia,Sundasciurus_samarensis,Samar: Leyte,Sundasciurus_hippurus,0.553777997,406.3,225,-0.256664304,0.256664304,dwarfism,LC,Faurby et al. 2020,den Tex et al. 2010,yes,
Rodentia,Sundasciurus_steerii,Balabac: Bancalan: Matangule: southern Palawan ,Sundasciurus_hippurus,0.620231356,406.3,252,-0.207446282,0.207446282,dwarfism,LC,Faurby et al. 2020,den Tex et al. 2010,yes,
Rodentia,Sundasciurus_tenuis,,,1.255473373,75.85,113.81055,0.098807506,0.098807506,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Artiodactyla,Sus_ahoenobarbus,Palawan,Sus_barbatus,0.804960284,70500,56749.7,-0.094225547,0.094225547,dwarfism,NT,Faurby et al. 2020,Frantz et al. 2016,yes,
Artiodactyla,Sus_barbatus,,,0.937404459,135000,126549.6019,-0.028072985,0.028072985,dwarfism,VU,Island populations dataset in this study,,no,Median values from population dataset
Artiodactyla,Sus_cebifrons,Negros: Panay: Masbate,Sus_barbatus,0.460992908,70500,32500,-0.336305756,0.336305756,dwarfism,CR,Faurby et al. 2020,Frantz et al. 2016,yes,
Artiodactyla,Sus_celebensis,Sulawesi: Buton: Muna: Kabeana: Peleng: Lembeh:Togian ,Sus_barbatus,0.780141844,70500,55000,-0.107826427,0.107826427,dwarfism,NT,Faurby et al. 2020,Frantz et al. 2016,yes,
Artiodactyla,Sus_oliveri,Mindoro,Sus_barbatus,0.635478014,70500,44801.2,-0.19689947,0.19689947,dwarfism,VU,Faurby et al. 2020,Frantz et al. 2016,yes,
Artiodactyla,Sus_philippensis,Luzon: Polillo: Catanduanes: Marinduque: Samar: Leyte: Biliran: Bohol: Mindanao: Camiguin Sul: Basilan,Sus_barbatus,0.62770922,70500,44253.5,-0.202241492,0.202241492,dwarfism,VU,Faurby et al. 2020,Frantz et al. 2016,yes,
Artiodactyla,Sus_verrucosus,Java: Bawean,Sus_scrofa,0.915369399,101052.1,92500,-0.03840361,0.03840361,dwarfism,EN,Faurby et al. 2020,Frantz et al. 2016,yes,
Chiroptera,Syconycteris_australis,,,0.981720244,24.45,23.34586642,-0.008012254,0.008012254,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Syconycteris_carolinae,Halmahera: Bacan,Syconycteris_hobbit,2.131147541,18.3,39,0.328613517,0.328613517,gigantism,VU,Faurby et al. 2020,Upham et al. 2019,yes,
Chiroptera,Syconycteris_hobbit,New Guinea,,,,18.3,,,,LC,Faurby et al. 2020,,yes,
Lagomorpha,Sylvilagus_bachmani,,,1.28,700,896,0.10720997,0.10720997,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Lagomorpha,Sylvilagus_brasiliensis,,,1.31,1200,1572,0.117271296,0.117271296,gigantism,EN,Island populations dataset in this study,,no,Median values from population dataset
Lagomorpha,Sylvilagus_graysoni,,,0.89,2200,1958,-0.050609993,0.050609993,dwarfism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Lagomorpha,Sylvilagus_mansuetus,,,0.95,700,665,-0.022276395,0.022276395,dwarfism,CR,Island populations dataset in this study,,yes,Median values from population dataset
Eulipotyphla,Sylvisorex_isabellae,Bioko,,,,7.5,,,,VU,McCreless et al. 2016,,yes,
Rodentia,Taeromys_arcuatus,Sulawesi,,,,227,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Taeromys_celebensis,Sulawesi,,,,252.7,,,,LC,Fabre et al. 2017,,yes,
Rodentia,Taeromys_taerae,Sulawesi,,,,247,,,,VU,Faurby et al. 2020,,yes,
Rodentia,Tamiasciurus_hudsonicus,,,0.985,190,187.15,-0.00656377,0.00656377,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Tamiops_swinhoei,,,0.673,60,40.38,-0.171984936,0.171984936,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Taphozous_melanopogon,,,1.015,26.3,26.6945,0.006466042,0.006466042,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Primates,Tarsius_dentatus,Sulawesi,,,,107,,,,VU,Faurby et al. 2020,,yes,
Primates,Tarsius_pelengensis,,,1.185515788,57.5,68.16715782,0.073907342,0.073907342,gigantism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Tarsius_sangirensis,,,1.207602339,114,137.6666667,0.081923946,0.081923946,gigantism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Tarsius_tarsier,Sulawesi: Buton: Muna: Kabaena: Selayar: Togian ,,,,200,,,,VU,Faurby et al. 2020,,yes,
Primates,Tarsius_tumpara,Siau,,,,104,,,,CR,Faurby et al. 2020,,yes,
Rodentia,Tarsomys_apoensis,Mindanao,,,,69,,,,LC,Van den Hoek Ostende et al. 2017,,yes,
Rodentia,Tarsomys_echinatus,Mindanao,,,,87.1,,,,VU,Faurby et al. 2020,,yes,
Afrosoricida,Tenrec_ecaudatus,Madagascar,,,,868,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Thoopterus_nigrescens,Sulawesi: Buton: Mangole: Talaud: Sangihe: Wowoni,,,,60.4,,,,LC,Faurby et al. 2020,,yes,
Diprotodontia,Thylogale_browni,New Guinea: Bagabag: New Britain: New Ireland Umboi,Thylogale_stigmatica,1.19,4600,5478,0.075546961,0.075546961,gigantism,VU,Faurby et al. 2020,Macqueen et al. 2011,yes,
Diprotodontia,Thylogale_brunii,New Guinea: Aru Islands: Kai ,Thylogale_stigmatica,0.786956522,4600,3620,-0.104049261,0.104049261,dwarfism,VU,Faurby et al. 2020,Macqueen et al. 2011,yes,
Diprotodontia,Thylogale_calabyi,New Guinea,Thylogale_stigmatica,0.940456522,4600,4326.1,-0.026661278,0.026661278,dwarfism,EN,Faurby et al. 2020,Macqueen et al. 2011,yes,
Diprotodontia,Thylogale_lanatus,New Guinea,Thylogale_stigmatica,1.155673913,4600,5316.1,0.06283531,0.06283531,gigantism,EN,Faurby et al. 2020,Macqueen et al. 2011,yes,
Didelphimorphia,Tlacuatzin_canescens,,,1.07,85,90.95,0.029383778,0.029383778,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Tokudaia_muenninki,Okinawa: Kume: Ie,,,,122,,,,CR,Van den Hoek Ostende et al. 2017,,yes,
Rodentia,Tokudaia_osimensis,Amami Oshima,,,,87,,,,EN,Van den Hoek Ostende et al. 2017,,yes,
Rodentia,Tokudaia_tokunoshimensis,Tokunoshima,,,,290.5,,,,EN,Faurby et al. 2020,,yes,
Primates,Trachypithecus_auratus,Java: Bali: Lombok: Palau Sempu: Nusa Barung,Trachypithecus_cristatus,1.352380952,5250,7100,0.131099045,0.131099045,gigantism,VU,Faurby et al. 2020,Roos et al. 2008,yes,
Primates,Trachypithecus_cristatus,,,0.857546589,7130,6114.307182,-0.066742276,0.066742276,dwarfism,VU,Island populations dataset in this study,,no,Median values from population dataset
Primates,Trachypithecus_obscurus,,,1.336,7120,9512.32,0.125806458,0.125806458,gigantism,EN,Island populations dataset in this study,,no,Median values from population dataset
Artiodactyla,Tragulus_kanchil,,,1.118,1870,2193.51,0.048441804,0.048441804,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Artiodactyla,Tragulus_napu,,,0.812,5230,4246.76,-0.090443971,0.090443971,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Artiodactyla,Tragulus_nigricans,Balabac: Bugsuk: Ramos,Tragulus_napu,0.61845,4000,2473.8,-0.208695406,0.208695406,dwarfism,EN,Faurby et al. 2020,Frantz et al. 2016,yes,
Chiroptera,Triaenops_rufus,Madagascar,Triaenops_persicus,0.833333333,12.6,10.5,-0.079181246,0.079181246,dwarfism,LC,Faurby et al. 2020,Goodman & Ranivo 2008,yes,
Rodentia,Tscherskia_triton,,,1.054,132,139.128,0.022840611,0.022840611,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Scandentia,Tupaia_belangeri,,,0.965,200,193,-0.015472687,0.015472687,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Scandentia,Tupaia_chrysogaster,North: South Pagai: Sipora: Siberut,Tupaia_belangeri,0.8885,200,177.7,-0.051342568,0.051342568,dwarfism,VU,Faurby et al. 2020,Roberts et al. 2011,yes,
Scandentia,Tupaia_everetti,,,0.843139002,224,188.8631363,-0.074100821,0.074100821,dwarfism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Scandentia,Tupaia_glis,,,0.897986164,132,133.848,-0.046730355,0.046730355,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Scandentia,Tupaia_gracilis,,,0.972,112,108.864,-0.012333735,0.012333735,dwarfism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Scandentia,Tupaia_javanica,Sumatra: Bali: Java: Nias,,,,105,,,,LC,Faurby et al. 2020,,yes,
Scandentia,Tupaia_longipes,Borneo,Tupaia_belangeri,0.98,200,196,-0.008773924,0.008773924,dwarfism,LC,Faurby et al. 2020,Roberts et al. 2011,yes,
Scandentia,Tupaia_minor,,,1.015,70,71.05,0.006466042,0.006466042,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Scandentia,Tupaia_montana,Borneo,,,,199,,,,LC,Faurby et al. 2020,,yes,
Scandentia,Tupaia_nicobarica,,,0.959,170,163.03,-0.018181393,0.018181393,dwarfism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Scandentia,Tupaia_palawanensis,,,0.703,168,118.104,-0.153044675,0.153044675,dwarfism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Scandentia,Tupaia_picta,Borneo,,,,147.5,,,,LC,Faurby et al. 2020,,yes,
Scandentia,Tupaia_splendidula,,,1.019,168,171.192,0.008174184,0.008174184,gigantism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Scandentia,Tupaia_tana,,,0.948,182,172.536,-0.023191663,0.023191663,dwarfism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Rodentia,Urocitellus_parryii,,,0.9,700,630,-0.045757491,0.045757491,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Urocyon_cinereoargenteus,,,0.343,4500,1543.5,-0.46470588,0.46470588,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Urocyon_littoralis,,,0.64,4500,2880,-0.193820026,0.193820026,dwarfism,NT,Island populations dataset in this study,,yes,Median values from population dataset
Rodentia,Uromys_anak,New Guinea,,,,664.5,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Uromys_boeadii,Biak,Uromys_anak,0.644394281,664.5,428.2,-0.190848322,0.190848322,dwarfism,CR,Faurby et al. 2020,Groves & Flannery 1994,yes,
Rodentia,Uromys_emmae,Owi,Uromys_caudimaculatus,0.701054713,606.8,425.4,-0.154248087,0.154248087,dwarfism,CR,Faurby et al. 2020,Groves & Flannery 1994,yes,
Rodentia,Uromys_imperator,Guadalcanal,Uromys_caudimaculatus,1.647989453,606.8,1000,0.216954428,0.216954428,gigantism,CR,Faurby et al. 2020,Groves & Flannery 1994,yes,
Rodentia,Uromys_neobritannicus,New Britain,Uromys_anak,0.921745673,664.5,612.5,-0.035388892,0.035388892,dwarfism,NT,Faurby et al. 2020,Groves & Flannery 1994,yes,
Rodentia,Uromys_porculus,Guadalcanal,Uromys_caudimaculatus,0.693309163,606.8,420.7,-0.15907306,0.15907306,dwarfism,CR,Faurby et al. 2020,Groves & Flannery 1994,yes,
Rodentia,Uromys_rex,Guadalcanal,Uromys_caudimaculatus,0.69215557,606.8,420,-0.159796282,0.159796282,dwarfism,EN,Faurby et al. 2020,Groves & Flannery 1994,yes,
Rodentia,Uromys_vika,Vangunu,Uromys_caudimaculatus,0.617996045,606.8,375,-0.209014304,0.209014304,dwarfism,CR,Lavery & Judge 2017,Lavery & Judge 2017,yes,
Eulipotyphla,Urotrichus_talpoides,Honshu: Shikoku: Kyushu: Awaji: Shodo: Oki: Tsushima: Goto: Mishima: Awashima,,,,45,,,,LC,Faurby et al. 2020,,yes,
Carnivora,Ursus_americanus,,,0.983721251,111000,109193.0588,-0.007127947,0.007127947,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Ursus_arctos,,,0.9455,196000,185318,-0.024338467,0.024338467,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Urva_brachyura,,,0.833553097,1995.262315,1663.157082,-0.079066731,0.079066731,dwarfism,NT,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Urva_javanica,,,0.9305,765,711.8325,-0.031283623,0.031283623,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Urva_semitorquata,,,0.794018631,3162.27766,2510.907379,-0.100169307,0.100169307,dwarfism,NT,Island populations dataset in this study,,yes,Median values from population dataset
Carnivora,Urva_smithii,,,1.008725254,2089.296131,2107.525771,0.003772894,0.003772894,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Urva_urva,,,0.889917284,2380,2118.003135,-0.050650358,0.050650358,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Vandeleuria_nolthenii,Sri Lanka,Vandeleuria_oleracea,5.66,10,56.6,0.752816431,0.752816431,gigantism,EN,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Primates,Varecia_rubra,Madagascar,,,,3450,,,,CR,Faurby et al. 2020,,yes,
Primates,Varecia_variegata,Madagascar,,,,3350,,,,CR,Faurby et al. 2020,,yes,
Carnivora,Viverra_tangalunga,,,0.880285777,7350,6470.100458,-0.055376315,0.055376315,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Viverricula_indica,,,0.885,2980,2637.3,-0.053056729,0.053056729,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Voalavo_antsahabensis,Madagascar,,,,21.8,,,,EN,Faurby et al. 2020,,yes,
Rodentia,Voalavo_gymnocaudus,Madagascar,,,,21.8,,,,LC,Faurby et al. 2020,,yes,
Carnivora,Vulpes_lagopus,,,0.95,3140,2983,-0.022276395,0.022276395,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Vulpes_vulpes,,,1.008,4840,4878.72,0.003460532,0.003460532,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Xenuromys_barbatus,New Guinea,,,,1000,,,,LC,Faurby et al. 2020,,yes,
Monotremata,Zaglossus_attenboroughi,New Guinea,,,,4332.1,,,,CR,Faurby et al. 2020,,yes,
Monotremata,Zaglossus_bartoni,New Guinea,,,,9413.8,,,,VU,Faurby et al. 2020,,yes,
Monotremata,Zaglossus_bruijnii,New Guinea: Salawati,,,,7800,,,,CR,Faurby et al. 2020,,yes,
Rodentia,Zygodontomys_brevicauda,,,1.772,52.2,92.4984,0.248463718,0.248463718,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
